event_type,product_id,category_code,brand,price,shipping_price,seller,ratings,title
view,item24658e1edf,smartphone,Unknown Brand,,0.0,used-phone-working-perfectly (417) 94.4%,,"Samsung Galaxy Folder 2 SM-G1600 Dual Sim 16GB Android Unlocked 3.8"" Smartphone"
view,item4069a2f0c5,smartphone,Unknown Brand,,0.0,"5starsc (172,730) 97.9%",,BLACKVIEW BV5200 PRO Rugged 4gb 64gb Waterproof NFC Android 12 4g Smart Phone
view,item1f76e6d8b2,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular HD68 - 64GB - Purple (CARRIER UNKNOWN) Dual SIM Smartphone
view,item290b9a371d,smartphone,Unknown Brand,,0.0,"amcelltech (63,086) 99.1%",,"Lot of 30 pcs Assorted Cell Phones For Parts, Scrap or Gold Recovery"
view,item1f6f4df859,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular HD60L - 32GB - Black (CARRIER UNKNOWN) 4G LTE Android Smartphone
view,item40739efa31,smartphone,Unknown Brand,,0.0,"tech-hobbies (5,651) 99.6%",5.0,Apple iPhone 13 | 13 mini - 128GB | 256GB - Unlocked Verizon AT&T T-Mobile
view,item2dd80dbfc9,smartphone,Unknown Brand,,0.0,"denghcai2 (6,166) 97.1%",,S24 Ultra 5G Smartphone 7.3 in Factory Unlocked Phone Android 14 Dual SIM Gift
view,item494857dff0,smartphone,Unknown Brand,,0.0,"londonmagicstore (1,716,881) 96.5%",,HTC Touch Diamond DIAM100 Black Unlocked Smartphone A++ Pristine Condition
view,item2db97832b2,smartphone,Unknown Brand,,0.0,"worldtrade100 (98,889) 96.3%",,14 Pro Phone 6.1 Inch for 11 Unlocked Cell Phone 4GB 32GB 6800mAh
view,item55020f2d78,smartphone,Unknown Brand,,0.0,"cellphoneservicecentre (19,017) 99.7%",5.0,"TCL 40 SE 128GB 6.75"" Unlocked Box Android 4G Smartphone Grade A 1Yr UK Warranty"
view,item342c50af2c,smartphone,Unknown Brand,,0.0,"ataglobal (2,437) 99.8%",5.0,Apple iPhone X 64GB 256GB Grey Silver UNLOCKED Smartphone - Excellent Grade A
view,item2dd279ded7,smartphone,Unknown Brand,,0.0,"communicationbazar (3,810) 99.7%",4.5,NEW Samsung Galaxy A54 128GB 5G 6.4'' Smartphone 8GB RAM Unlocked - Graphite
view,item1f7ea768a4,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,(USED) MaxWest Astro A63 (MX-A63) 32GB (GSM Unlocked) Dual SIM Smartphone
view,item451aa8b302,smartphone,Unknown Brand,,0.0,"backspac3 (3,013) 99.3%",,USED 4/10 Kyocera DuraXV Extreme E4810 - 16GB - Black Verizon Smartphone
view,item34a209da3a,smartphone,Unknown Brand,,0.0,"skygobalphone (18,427) 98.7%",,For Samsung Galaxy S24 S23 FE S22 Ultra A15 A35 Case Leather Wallet Phone Cover
view,item578713a1fd,smartphone,Unknown Brand,,0.0,"huayingxing2 (2,593) 97.2%",,"New S24 Ultra 5G Smartphone 7.3"" Dual SIM Unlocked Android Mobile Phone 6G+128GB"
view,item5c0a29fc66,smartphone,Unknown Brand,,0.0,"rnphones (1,390) 99.2%",4.5,Samsung Galaxy A40 - 64GB - Black (Unlocked) (Dual SIM) Android Smartphone
view,item1d7cf44b92,smartphone,Unknown Brand,,0.0,j7store (664) 99.4%,5.0,Nokia G22 6.52” HD+ Dual SIM Smartphone Android AI 4/64 GB Blue New Unlocked
view,item1ac51d1ecf,smartphone,Unknown Brand,,0.0,"onemoremobile (20,229) 99.5%",4.5,Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A
view,item52f8627c2e,smartphone,Unknown Brand,,0.0,"dessi-eshop (10,189) 99.9%",,CARTINE ELEMENTS RAINBOW LUNGHE KING SIZE SLIM 50 LIBRETTI
view,item2b6e0e0521,smartphone,Unknown Brand,,0.0,"lifestylegallery2010 (1,883) 97.3%",,Infinix Note 40 Pro+ 5G Factory Unlocked 12GB RAM 256GB GLOBAL ROM-GREEN
view,item5774546013,smartphone,Unknown Brand,,0.0,"huayingxing2 (2,593) 97.2%",,"Unlocked Mini Smartphone 3GB+64GB Android 3"" Small Phones Dual SIM Face ID"
view,item1d819c7fdc,smartphone,Unknown Brand,,0.0,j7store (664) 99.4%,,Nokia 3210 4G 64GB Mobile Featurephone. (2024 ) Unlocked in Scuba Blue
view,item578402399b,smartphone,Unknown Brand,,0.0,"huayingxing2 (2,593) 97.2%",,"Unlocked S24 Ultra 5G Smartphone 7.3"" Android Mobile Phones Dual SIM 12+512GB"
view,item5e5241e731,smartphone,Unknown Brand,,0.0,cefc-mobiles (160) 100%,4.5,Xiaomi Redmi Note 10 Pro 4G Dual SIM Factory Unlock 128GB Android Global version
view,item576cfde3a7,smartphone,Unknown Brand,,0.0,"ketech_electronic (4,500) 98.9%",5.0,"Original LG Velvet 5G G9 G900UM 6.8"" 128GB Octa Core Android Smartphone Unlocked"
view,item52b292c28b,smartphone,Unknown Brand,,0.0,"dessi-eshop (10,189) 99.9%",,"FILTRI OCB ULTRA SLIM 5,7MM EXTRA POP TIPS IN STICK 54 DA 20 SCATOLE 54 FILTRE"
